Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
607,Agra,Fatehabad,Potato,Desi,FAQ,1500,1550,1520,10-Dec-20
608,Agra,Fatehabad,Potato,Desi,FAQ,1500,1600,1550,9-Dec-20
609,Agra,Fatehabad,Potato,Desi,FAQ,1500,1600,1550,8-Dec-20
610,Agra,Fatehabad,Potato,Desi,FAQ,1500,1550,1520,7-Dec-20
611,Agra,Fatehabad,Potato,Desi,FAQ,2000,2100,2050,6-Dec-20
612,Agra,Fatehabad,Potato,Desi,FAQ,2200,2300,2250,4-Dec-20
613,Agra,Fatehabad,Potato,Desi,FAQ,2700,2750,2720,2-Dec-20
614,Agra,Fatehabad,Potato,Desi,FAQ,2650,2730,2700,1-Dec-20
615,Agra,Fatehabad,Potato,Desi,FAQ,2700,2800,2740,30-Nov-20
616,Agra,Fatehabad,Potato,Desi,FAQ,2700,2750,2730,28-Nov-20
617,Agra,Fatehabad,Potato,Desi,FAQ,2700,2800,2750,26-Nov-20
618,Agra,Fatehabad,Potato,Desi,FAQ,2700,2750,2720,25-Nov-20
619,Agra,Fatehabad,Potato,Desi,FAQ,2700,2800,2750,24-Nov-20
620,Agra,Fatehabad,Potato,Desi,FAQ,2500,2600,2550,23-Nov-20
621,Agra,Fatehabad,Potato,Desi,FAQ,2500,2600,2550,21-Nov-20
622,Agra,Fatehabad,Potato,Desi,FAQ,2500,2550,2520,20-Nov-20
623,Agra,Fatehabad,Potato,Desi,FAQ,2000,2050,2020,19-Nov-20
624,Agra,Fatehabad,Potato,Desi,FAQ,1800,1850,1820,18-Nov-20
625,Agra,Fatehabad,Potato,Desi,FAQ,1900,2000,1950,17-Nov-20
626,Agra,Fatehabad,Potato,Desi,FAQ,1800,1900,1850,12-Nov-20
627,Agra,Fatehabad,Potato,Desi,FAQ,2000,2100,2050,11-Nov-20
628,Agra,Fatehabad,Potato,Desi,FAQ,2200,2300,2250,10-Nov-20
629,Agra,Fatehabad,Potato,Desi,FAQ,2000,2200,2050,9-Nov-20
630,Agra,Fatehabad,Potato,Desi,FAQ,1800,1900,1850,7-Nov-20
631,Agra,Fatehabad,Potato,Desi,FAQ,2000,2100,2050,5-Nov-20
632,Agra,Fatehabad,Potato,Desi,FAQ,2000,2100,2050,3-Nov-20
633,Agra,Fatehabad,Potato,Desi,FAQ,1800,1900,1850,2-Nov-20
634,Agra,Fatehabad,Potato,Desi,FAQ,2000,2100,2060,1-Nov-20
635,Agra,Fatehabad,Potato,Desi,FAQ,2000,2100,2050,31-Oct-20
636,Agra,Fatehabad,Potato,Desi,FAQ,2000,2100,2050,30-Oct-20
637,Agra,Fatehabad,Potato,Desi,FAQ,1800,1850,1820,29-Oct-20
638,Agra,Fatehabad,Potato,Desi,FAQ,2000,2200,2050,28-Oct-20
639,Agra,Fatehabad,Potato,Desi,FAQ,1800,1900,1850,27-Oct-20
640,Agra,Fatehabad,Potato,Desi,FAQ,1800,1900,1850,26-Oct-20
641,Agra,Fatehabad,Potato,Desi,FAQ,2000,2100,2060,25-Oct-20
642,Agra,Fatehabad,Potato,Desi,FAQ,1500,1600,1550,24-Oct-20
643,Agra,Fatehabad,Potato,Desi,FAQ,2000,2100,2050,22-Oct-20
644,Agra,Fatehabad,Potato,Desi,FAQ,2000,2100,2050,21-Oct-20
645,Agra,Fatehabad,Potato,Desi,FAQ,1800,1900,1850,20-Oct-20
646,Agra,Fatehabad,Potato,Desi,FAQ,1800,1900,1850,19-Oct-20
647,Agra,Fatehabad,Potato,Desi,FAQ,1500,1550,1530,18-Oct-20
648,Agra,Fatehabad,Potato,Desi,FAQ,1800,1850,1820,17-Oct-20
649,Agra,Fatehabad,Potato,Desi,FAQ,1500,1550,1520,16-Oct-20
650,Agra,Fatehabad,Potato,Desi,FAQ,1500,1600,1550,15-Oct-20
651,Agra,Fatehabad,Potato,Desi,FAQ,1500,1600,1550,14-Oct-20
652,Agra,Fatehabad,Potato,Desi,FAQ,1500,1600,1550,13-Oct-20
653,Agra,Fatehabad,Potato,Desi,FAQ,1500,1600,1550,12-Oct-20
654,Agra,Fatehabad,Potato,Desi,FAQ,1500,1600,1550,11-Oct-20
655,Agra,Fatehabad,Potato,Desi,FAQ,1500,1550,1520,10-Oct-20
656,Agra,Fatehabad,Potato,Desi,FAQ,1500,1600,1550,7-Oct-20
657,Agra,Fatehabad,Potato,Desi,FAQ,1500,1600,1550,5-Oct-20
658,Agra,Fatehabad,Potato,Desi,FAQ,1800,1900,1850,4-Oct-20
659,Agra,Fatehabad,Potato,Desi,FAQ,1850,1950,1900,3-Oct-20
660,Agra,Fatehabad,Potato,Desi,FAQ,1850,1950,1900,2-Oct-20
661,Agra,Fatehabad,Potato,Desi,FAQ,1850,2000,1900,1-Oct-20
662,Agra,Fatehabad,Potato,Desi,FAQ,1850,1950,1900,30-Sep-20
663,Agra,Fatehabad,Potato,Desi,FAQ,1800,1850,1820,29-Sep-20
664,Agra,Fatehabad,Potato,Desi,FAQ,2000,2050,2020,28-Sep-20
665,Agra,Fatehabad,Potato,Desi,FAQ,1800,1870,1860,27-Sep-20
666,Agra,Fatehabad,Potato,Desi,FAQ,1850,1900,1870,26-Sep-20
667,Agra,Fatehabad,Potato,Desi,FAQ,1750,1800,1780,24-Sep-20
668,Agra,Fatehabad,Potato,Desi,FAQ,1850,2000,1900,23-Sep-20
669,Agra,Fatehabad,Potato,Desi,FAQ,1800,1850,1820,22-Sep-20
670,Agra,Fatehabad,Potato,Desi,FAQ,1800,1900,1850,21-Sep-20
671,Agra,Fatehabad,Potato,Desi,FAQ,1800,1900,1850,20-Sep-20
672,Agra,Fatehabad,Potato,Desi,FAQ,2000,2100,2050,19-Sep-20
673,Agra,Fatehabad,Potato,Desi,FAQ,2000,2100,2050,18-Sep-20
674,Agra,Fatehabad,Potato,Desi,FAQ,1750,1850,1800,17-Sep-20
675,Agra,Fatehabad,Potato,Desi,FAQ,1500,1600,1550,16-Sep-20
676,Agra,Fatehabad,Potato,Desi,FAQ,1800,1900,1850,15-Sep-20
677,Agra,Fatehabad,Potato,Desi,FAQ,2000,2100,2050,13-Sep-20
678,Agra,Fatehabad,Potato,Desi,FAQ,1500,1600,1550,12-Sep-20
679,Agra,Fatehabad,Potato,Desi,FAQ,1500,1600,1550,11-Sep-20
680,Agra,Fatehabad,Potato,Desi,FAQ,1500,1600,1550,10-Sep-20
681,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,9-Sep-20
682,Agra,Fatehabad,Potato,Desi,FAQ,1500,1600,1550,6-Sep-20
683,Agra,Fatehabad,Potato,Desi,FAQ,1500,1600,1550,5-Sep-20
684,Agra,Fatehabad,Potato,Desi,FAQ,1500,1550,1520,4-Sep-20
685,Agra,Fatehabad,Potato,Desi,FAQ,1500,1550,1520,2-Sep-20
686,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,1-Sep-20
687,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,31-Aug-20
688,Agra,Fatehabad,Potato,Desi,FAQ,1400,1480,1450,30-Aug-20
689,Agra,Fatehabad,Potato,Desi,FAQ,1500,1550,1520,29-Aug-20
690,Agra,Fatehabad,Potato,Desi,FAQ,1500,1550,1520,28-Aug-20
691,Agra,Fatehabad,Potato,Desi,FAQ,1400,1500,1450,27-Aug-20
692,Agra,Fatehabad,Potato,Desi,FAQ,1400,1500,1450,25-Aug-20
693,Agra,Fatehabad,Potato,Desi,FAQ,1400,1500,1450,24-Aug-20
694,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,23-Aug-20
695,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,22-Aug-20
696,Agra,Fatehabad,Potato,Desi,FAQ,1400,1500,1450,19-Aug-20
697,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,18-Aug-20
698,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,17-Aug-20
699,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1430,16-Aug-20
700,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,13-Aug-20
701,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,8-Aug-20
702,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1430,7-Aug-20
703,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,6-Aug-20
704,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,5-Aug-20
705,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,4-Aug-20
706,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,30-Jul-20
707,Agra,Fatehabad,Potato,Desi,FAQ,1200,1400,1250,28-Jul-20
708,Agra,Fatehabad,Potato,Desi,FAQ,1200,1450,1300,25-Jul-20
709,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,24-Jul-20
710,Agra,Fatehabad,Potato,Desi,FAQ,1200,1350,1250,22-Jul-20
711,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,21-Jul-20
712,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,20-Jul-20
713,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,16-Jul-20
714,Agra,Fatehabad,Potato,Desi,FAQ,1200,1400,1250,15-Jul-20
715,Agra,Fatehabad,Potato,Desi,FAQ,1200,1350,1250,14-Jul-20
716,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,13-Jul-20
717,Agra,Fatehabad,Potato,Desi,FAQ,1200,1330,1250,7-Jul-20
718,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,6-Jul-20
719,Agra,Fatehabad,Potato,Desi,FAQ,1200,1400,1250,5-Jul-20
720,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1200,4-Jul-20
721,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,1-Jul-20
722,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,30-Jun-20
723,Agra,Fatehabad,Potato,Desi,FAQ,1200,1350,1250,29-Jun-20
724,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,28-Jun-20
725,Agra,Fatehabad,Potato,Desi,FAQ,1200,1350,1250,27-Jun-20
726,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,25-Jun-20
727,Agra,Fatehabad,Potato,Desi,FAQ,1200,1350,1250,24-Jun-20
728,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,23-Jun-20
729,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,22-Jun-20
730,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,20-Jun-20
731,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,18-Jun-20
732,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,17-Jun-20
733,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,16-Jun-20
734,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,15-Jun-20
735,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,14-Jun-20
736,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,11-Jun-20
737,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1230,10-Jun-20
738,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,9-Jun-20
739,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,8-Jun-20
740,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,7-Jun-20
741,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,6-Jun-20
742,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,4-Jun-20
743,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,3-Jun-20
744,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,2-Jun-20
745,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,1-Jun-20
746,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,30-May-20
747,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,29-May-20
748,Agra,Fatehabad,Potato,Desi,FAQ,1200,1280,1250,28-May-20
749,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,27-May-20
750,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,26-May-20
751,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,25-May-20
752,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1230,24-May-20
753,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,23-May-20
754,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,22-May-20
755,Agra,Fatehabad,Potato,Desi,FAQ,1400,1500,1450,21-May-20
756,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,20-May-20
757,Agra,Fatehabad,Potato,Desi,FAQ,1400,1500,1450,19-May-20
758,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,18-May-20
759,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,17-May-20
760,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,16-May-20
761,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1430,15-May-20
762,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,14-May-20
763,Agra,Fatehabad,Potato,Desi,FAQ,1400,1500,1450,13-May-20
764,Agra,Fatehabad,Potato,Desi,FAQ,1400,1500,1450,12-May-20
765,Agra,Fatehabad,Potato,Desi,FAQ,500,600,550,11-May-20
766,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,10-May-20
767,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,9-May-20
768,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,7-May-20
769,Agra,Fatehabad,Potato,Desi,FAQ,1400,1500,1450,6-May-20
770,Agra,Fatehabad,Potato,Desi,FAQ,1400,1500,1450,5-May-20
771,Agra,Fatehabad,Potato,Desi,FAQ,1400,1500,1450,4-May-20
772,Agra,Fatehabad,Potato,Desi,FAQ,1400,1500,1450,20-Apr-20
773,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1430,19-Apr-20
774,Agra,Fatehabad,Potato,Desi,FAQ,1400,1450,1420,18-Apr-20
775,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,16-Apr-20
776,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,15-Apr-20
777,Agra,Fatehabad,Potato,Desi,FAQ,1100,1200,1150,14-Apr-20
778,Agra,Fatehabad,Potato,Desi,FAQ,1150,1200,1180,13-Apr-20
779,Agra,Fatehabad,Potato,Desi,FAQ,1100,1150,1120,12-Apr-20
780,Agra,Fatehabad,Potato,Desi,FAQ,1100,1200,1150,11-Apr-20
781,Agra,Fatehabad,Potato,Desi,FAQ,1100,1200,1150,9-Apr-20
782,Agra,Fatehabad,Potato,Desi,FAQ,1050,1200,1100,8-Apr-20
783,Agra,Fatehabad,Potato,Desi,FAQ,1100,1200,1150,7-Apr-20
784,Agra,Fatehabad,Potato,Desi,FAQ,1100,1200,1150,6-Apr-20
785,Agra,Fatehabad,Potato,Desi,FAQ,1150,1200,1180,5-Apr-20
786,Agra,Fatehabad,Potato,Desi,FAQ,1000,1100,1050,4-Apr-20
787,Agra,Fatehabad,Potato,Desi,FAQ,1100,1200,1150,2-Apr-20
788,Agra,Fatehabad,Potato,Desi,FAQ,1200,1300,1250,1-Apr-20
789,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,31-Mar-20
790,Agra,Fatehabad,Potato,Desi,FAQ,800,900,830,24-Mar-20
791,Agra,Fatehabad,Potato,Desi,FAQ,700,750,720,20-Mar-20
792,Agra,Fatehabad,Potato,Desi,FAQ,850,900,880,19-Mar-20
793,Agra,Fatehabad,Potato,Desi,FAQ,800,900,850,17-Mar-20
794,Agra,Fatehabad,Potato,Desi,FAQ,800,900,850,16-Mar-20
795,Agra,Fatehabad,Potato,Desi,FAQ,800,900,850,15-Mar-20
796,Agra,Fatehabad,Potato,Desi,FAQ,800,900,850,14-Mar-20
797,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,12-Mar-20
798,Agra,Fatehabad,Potato,Desi,FAQ,800,900,850,10-Mar-20
799,Agra,Fatehabad,Potato,Desi,FAQ,800,900,850,9-Mar-20
800,Agra,Fatehabad,Potato,Desi,FAQ,800,900,850,7-Mar-20
801,Agra,Fatehabad,Potato,Desi,FAQ,800,900,850,6-Mar-20
802,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,3-Mar-20
803,Agra,Fatehabad,Potato,Desi,FAQ,750,850,800,2-Mar-20
804,Agra,Fatehabad,Potato,Desi,FAQ,800,900,850,29-Feb-20
805,Agra,Fatehabad,Potato,Desi,FAQ,800,900,850,27-Feb-20
806,Agra,Fatehabad,Potato,Desi,FAQ,800,900,850,26-Feb-20
807,Agra,Fatehabad,Potato,Desi,FAQ,800,900,820,25-Feb-20
808,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,24-Feb-20
809,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,23-Feb-20
810,Agra,Fatehabad,Potato,Desi,FAQ,800,900,850,22-Feb-20
811,Agra,Fatehabad,Potato,Desi,FAQ,700,750,720,21-Feb-20
812,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,20-Feb-20
813,Agra,Fatehabad,Potato,Desi,FAQ,700,750,720,18-Feb-20
814,Agra,Fatehabad,Potato,Desi,FAQ,700,800,750,17-Feb-20
815,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,16-Feb-20
816,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,15-Feb-20
817,Agra,Fatehabad,Potato,Desi,FAQ,500,600,550,13-Feb-20
818,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,12-Feb-20
819,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,11-Feb-20
820,Agra,Fatehabad,Potato,Desi,FAQ,700,800,750,10-Feb-20
821,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,9-Feb-20
822,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,5-Feb-20
823,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,4-Feb-20
824,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,1-Feb-20
825,Agra,Fatehabad,Potato,Desi,FAQ,800,900,850,30-Jan-20
826,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,28-Jan-20
827,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,27-Jan-20
828,Agra,Fatehabad,Potato,Desi,FAQ,800,900,850,26-Jan-20
829,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,25-Jan-20
830,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,24-Jan-20
831,Agra,Fatehabad,Potato,Desi,FAQ,900,1000,950,23-Jan-20
832,Agra,Fatehabad,Potato,Desi,FAQ,1000,1050,1020,22-Jan-20
833,Agra,Fatehabad,Potato,Desi,FAQ,1000,1100,1050,21-Jan-20
834,Agra,Fatehabad,Potato,Desi,FAQ,1180,1220,1200,20-Jan-20
835,Agra,Fatehabad,Potato,Desi,FAQ,1000,1100,1050,19-Jan-20
836,Agra,Fatehabad,Potato,Desi,FAQ,1150,1250,1200,18-Jan-20
837,Agra,Fatehabad,Potato,Desi,FAQ,1180,1220,1200,17-Jan-20
838,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,16-Jan-20
839,Agra,Fatehabad,Potato,Desi,FAQ,1200,1280,1240,15-Jan-20
840,Agra,Fatehabad,Potato,Desi,FAQ,1200,1250,1220,13-Jan-20
841,Agra,Fatehabad,Potato,Desi,FAQ,1180,1220,1200,11-Jan-20
842,Agra,Fatehabad,Potato,Desi,FAQ,1200,1240,1220,10-Jan-20
843,Agra,Fatehabad,Potato,Desi,FAQ,1170,1200,1180,9-Jan-20
844,Agra,Fatehabad,Potato,Desi,FAQ,1180,1250,1200,8-Jan-20
845,Agra,Fatehabad,Potato,Desi,FAQ,1180,1220,1200,7-Jan-20
846,Agra,Fatehabad,Potato,Desi,FAQ,1180,1220,1200,6-Jan-20
847,Agra,Fatehabad,Potato,Desi,FAQ,1170,1250,1200,4-Jan-20
848,Agra,Fatehabad,Potato,Desi,FAQ,1180,1250,1200,3-Jan-20
849,Agra,Fatehabad,Potato,Desi,FAQ,1180,1250,1200,2-Jan-20
850,Agra,Fatehpur Sikri,Potato,Local,FAQ,900,1100,1015,31-Dec-20
851,Agra,Fatehpur Sikri,Potato,Local,FAQ,1000,1120,1065,30-Dec-20
852,Agra,Fatehpur Sikri,Potato,Local,FAQ,900,1200,1040,29-Dec-20
853,Agra,Fatehpur Sikri,Potato,Local,FAQ,1000,1200,1095,28-Dec-20
854,Agra,Fatehpur Sikri,Potato,Local,FAQ,1000,1200,1080,26-Dec-20
855,Agra,Fatehpur Sikri,Potato,Local,FAQ,1050,1250,1145,25-Dec-20
856,Agra,Fatehpur Sikri,Potato,Local,FAQ,1000,1300,1120,24-Dec-20
857,Agra,Fatehpur Sikri,Potato,Local,FAQ,1000,1300,1165,23-Dec-20
858,Agra,Fatehpur Sikri,Potato,Local,FAQ,1000,1300,1155,22-Dec-20
859,Agra,Fatehpur Sikri,Potato,Local,FAQ,1100,1300,1200,21-Dec-20
860,Agra,Fatehpur Sikri,Potato,Local,FAQ,1100,1500,1260,19-Dec-20
861,Agra,Fatehpur Sikri,Potato,Local,FAQ,1150,1350,1250,18-Dec-20
862,Agra,Fatehpur Sikri,Potato,Local,FAQ,1200,1400,1300,17-Dec-20
863,Agra,Fatehpur Sikri,Potato,Local,FAQ,1350,1650,1480,16-Dec-20
864,Agra,Fatehpur Sikri,Potato,Local,FAQ,1800,2100,1945,15-Dec-20
865,Agra,Fatehpur Sikri,Potato,Local,FAQ,1900,2150,2015,14-Dec-20
866,Agra,Fatehpur Sikri,Potato,Local,FAQ,1900,2100,2000,12-Dec-20
867,Agra,Fatehpur Sikri,Potato,Local,FAQ,2000,2150,2080,11-Dec-20
868,Agra,Fatehpur Sikri,Potato,Local,FAQ,2050,2250,2150,10-Dec-20
869,Agra,Fatehpur Sikri,Potato,Local,FAQ,2500,2800,2640,9-Dec-20
870,Agra,Fatehpur Sikri,Potato,Local,FAQ,2800,2980,2880,7-Dec-20
871,Agra,Fatehpur Sikri,Potato,Local,FAQ,0,0,2925,5-Dec-20
872,Agra,Fatehpur Sikri,Potato,Local,FAQ,2800,3050,2915,4-Dec-20
873,Agra,Fatehpur Sikri,Potato,Local,FAQ,0,0,2940,3-Dec-20
874,Agra,Fatehpur Sikri,Potato,Local,FAQ,0,0,2925,2-Dec-20
875,Agra,Fatehpur Sikri,Potato,Local,FAQ,2900,3050,2960,30-Nov-20
876,Agra,Fatehpur Sikri,Potato,Local,FAQ,2800,3100,2945,27-Nov-20
877,Agra,Fatehpur Sikri,Potato,Local,FAQ,0,0,2910,26-Nov-20
878,Agra,Fatehpur Sikri,Potato,Local,FAQ,2700,3000,2890,25-Nov-20
879,Agra,Fatehpur Sikri,Potato,Local,FAQ,2800,3000,2905,24-Nov-20
880,Agra,Fatehpur Sikri,Potato,Local,FAQ,2800,3000,2920,23-Nov-20
881,Agra,Fatehpur Sikri,Potato,Local,FAQ,2800,3000,2900,21-Nov-20
882,Agra,Fatehpur Sikri,Potato,Local,FAQ,2700,3000,2885,20-Nov-20
883,Agra,Fatehpur Sikri,Potato,Local,FAQ,2750,2980,2860,19-Nov-20
884,Agra,Fatehpur Sikri,Potato,Local,FAQ,2750,2950,2875,18-Nov-20
885,Agra,Fatehpur Sikri,Potato,Local,FAQ,2750,2950,2865,17-Nov-20
886,Agra,Fatehpur Sikri,Potato,Local,FAQ,2800,2950,2890,16-Nov-20
887,Agra,Fatehpur Sikri,Potato,Local,FAQ,2800,2950,2875,14-Nov-20
888,Agra,Fatehpur Sikri,Potato,Local,FAQ,2700,3000,2850,13-Nov-20
889,Agra,Fatehpur Sikri,Potato,Local,FAQ,2700,2950,2815,12-Nov-20
890,Agra,Fatehpur Sikri,Potato,Local,FAQ,2650,2900,2780,11-Nov-20
891,Agra,Fatehpur Sikri,Potato,Local,FAQ,2650,2950,2800,10-Nov-20
892,Agra,Fatehpur Sikri,Potato,Local,FAQ,2650,2900,2765,9-Nov-20
893,Agra,Fatehpur Sikri,Potato,Local,FAQ,2550,2850,2700,7-Nov-20
894,Agra,Fatehpur Sikri,Potato,Local,FAQ,2500,2800,2665,6-Nov-20
895,Agra,Fatehpur Sikri,Potato,Local,FAQ,2650,2900,2780,5-Nov-20
896,Agra,Fatehpur Sikri,Potato,Local,FAQ,2700,2900,2795,4-Nov-20
897,Agra,Fatehpur Sikri,Potato,Local,FAQ,2700,2900,2810,3-Nov-20
898,Agra,Fatehpur Sikri,Potato,Local,FAQ,2680,2900,2780,2-Nov-20
899,Agra,Fatehpur Sikri,Potato,Local,FAQ,2620,2850,2745,31-Oct-20
900,Agra,Fatehpur Sikri,Potato,Local,FAQ,2600,2800,2685,29-Oct-20
901,Agra,Fatehpur Sikri,Potato,Local,FAQ,2600,2850,2700,28-Oct-20
902,Agra,Fatehpur Sikri,Potato,Local,FAQ,2570,2770,2670,27-Oct-20
903,Agra,Fatehpur Sikri,Potato,Local,FAQ,2520,2750,2620,24-Oct-20
904,Agra,Fatehpur Sikri,Potato,Local,FAQ,2470,2700,2570,23-Oct-20
905,Agra,Fatehpur Sikri,Potato,Local,FAQ,2445,2645,2545,22-Oct-20
906,Agra,Fatehpur Sikri,Potato,Local,FAQ,2400,2600,2500,21-Oct-20
907,Agra,Fatehpur Sikri,Potato,Local,FAQ,2365,2565,2465,20-Oct-20
908,Agra,Fatehpur Sikri,Potato,Local,FAQ,2325,2525,2425,19-Oct-20
909,Agra,Fatehpur Sikri,Potato,Local,FAQ,2350,2550,2455,17-Oct-20
910,Agra,Fatehpur Sikri,Potato,Local,FAQ,2400,2550,2470,16-Oct-20
911,Agra,Fatehpur Sikri,Potato,Local,FAQ,2320,2540,2440,15-Oct-20
912,Agra,Fatehpur Sikri,Potato,Local,FAQ,2300,2520,2415,14-Oct-20
913,Agra,Fatehpur Sikri,Potato,Local,FAQ,2300,2450,2390,13-Oct-20
914,Agra,Fatehpur Sikri,Potato,Local,FAQ,2320,2500,2410,12-Oct-20
915,Agra,Fatehpur Sikri,Potato,Local,FAQ,2320,2480,2400,10-Oct-20
916,Agra,Fatehpur Sikri,Potato,Local,FAQ,2340,2540,2495,9-Oct-20
917,Agra,Fatehpur Sikri,Potato,Local,FAQ,2325,2525,2425,8-Oct-20
918,Agra,Fatehpur Sikri,Potato,Local,FAQ,2340,2540,2440,7-Oct-20
919,Agra,Fatehpur Sikri,Potato,Local,FAQ,2320,2500,2410,6-Oct-20
920,Agra,Fatehpur Sikri,Potato,Local,FAQ,2350,2500,2425,5-Oct-20
921,Agra,Fatehpur Sikri,Potato,Local,FAQ,2320,2480,2405,3-Oct-20
922,Agra,Fatehpur Sikri,Potato,Local,FAQ,2350,2500,2420,2-Oct-20
923,Agra,Fatehpur Sikri,Potato,Local,FAQ,2320,2480,2400,1-Oct-20
924,Agra,Fatehpur Sikri,Potato,Local,FAQ,2320,2480,2405,30-Sep-20
925,Agra,Fatehpur Sikri,Potato,Local,FAQ,2350,2480,2420,29-Sep-20
926,Agra,Fatehpur Sikri,Potato,Local,FAQ,2340,2450,2390,28-Sep-20
927,Agra,Fatehpur Sikri,Potato,Local,FAQ,2300,2450,2370,26-Sep-20
928,Agra,Fatehpur Sikri,Potato,Local,FAQ,2300,2420,2350,25-Sep-20
